customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
4028-QHMHR,Male,0,Yes,No,43,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Two year,Yes,Electronic check,52.22,2242.87,No
6987-XTVMB,Female,1,Yes,Yes,69,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,54.13,3756.45,No
6041-AQHBD,Male,0,No,Yes,63,No,No phone service,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,63.09,4012.08,No
9413-QHJXP,Male,0,Yes,No,70,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,108.11,7489.5,No
2369-SCYSX,Male,0,Yes,No,65,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,24.85,1580.57,No
5262-XFLXB,Female,1,Yes,No,67,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),80.57,5498.12,No
1562-IUJJA,Male,0,Yes,No,54,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),51.4,2749.51,No
9754-KMZGV,Male,0,No,No,36,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Two year,Yes,Electronic check,86.2,3134.49,Yes
0386-OHUQK,Male,0,No,No,71,Yes,No,Fiber optic,No,Yes,No,No,No,No,Two year,No,Electronic check,86.84,6229.83,No
2817-HRVHA,Female,0,No,No,15,Yes,No,DSL,No,Yes,No,No,No,No,Two year,Yes,Bank transfer (automatic),103.04,1554.79,No
5797-VUEUE,Male,0,No,No,18,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),75.21,1324.37,No
4805-NQPHH,Male,0,No,No,4,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,No,Mailed check,81.34,358.06,No
5997-PXIVI,Male,0,No,No,11,No,No phone service,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,No,Electronic check,118.75,1330.0,Yes
9147-KMXCL,Male,0,No,No,6,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,18.58,90.02,No
0084-RPVJU,Female,0,Yes,No,51,No,No phone service,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,55.46,2825.51,Yes
4638-ODXZN,Male,0,No,No,58,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,73.71,4256.37,Yes
